timestamp,source,type,severity,message,status
2025-10-07T09:55:19.835865+00:00,JBoss Logs,Anomaly,critical,2025-10-07 14:22:00 ERROR [org.jboss] Critical failure in connection pool,acknowledged
2025-10-07T10:01:49.226769+00:00,JBoss Logs,Anomaly,critical,2025-10-07 15:20:00 ERROR [org.jboss] Database connection lost unexpectedly,acknowledged
2025-10-07T10:03:34.921804+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-07T10:24:53.359434+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-07T10:24:57.743967+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-07T10:25:02.767089+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T06:37:49.306896+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T06:37:56.184203+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T06:44:16.842443+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T06:44:22.023588+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:21.365205+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:26.943524+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:27.760410+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:28.440523+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:28.931395+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:29.504066+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:29.883667+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:30.358477+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:30.554933+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:30.706228+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,acknowledged
2025-10-13T11:13:30.870934+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-13T11:23:04.497628+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-13T12:32:34.207305+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-15T11:55:52.055490+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-15T14:14:06.770182+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-15T14:14:10.476573+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-15T15:16:38.218026+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-16T06:21:17.806068+00:00,System,Resource Alert,critical,High CPU usage detected: 98.5%,active
2025-10-16T09:47:37.310131+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-16T09:47:43.049730+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-16T10:19:23.719358+00:00,System,Resource Alert,critical,High CPU usage detected: 93.9%,active
2025-10-16T10:33:29.549733+00:00,System,Resource Alert,critical,High CPU usage detected: 94.5%,active
2025-10-16T11:14:37.757056+00:00,System,Resource Alert,warning,High memory usage detected: 81.3%,active
2025-10-16T11:15:27.532406+00:00,System,Resource Alert,warning,High memory usage detected: 82.0%,active
2025-10-16T11:15:47.752140+00:00,System,Resource Alert,warning,High memory usage detected: 80.9%,active
2025-10-16T11:15:52.201048+00:00,System,Resource Alert,warning,High memory usage detected: 80.7%,active
2025-10-16T11:20:51.702432+00:00,System,Resource Alert,warning,High memory usage detected: 80.8%,active
2025-10-16T11:21:51.737104+00:00,System,Resource Alert,warning,High memory usage detected: 83.0%,active
2025-10-16T13:54:03.570582+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-16T13:54:04.603947+00:00,System,Resource Alert,warning,High memory usage detected: 82.2%,active
2025-10-16T13:54:20.901448+00:00,System,Resource Alert,warning,High memory usage detected: 81.8%,active
2025-10-16T13:54:28.153909+00:00,System,Resource Alert,warning,High memory usage detected: 82.2%,active
2025-10-16T13:54:40.967890+00:00,System,Resource Alert,warning,High memory usage detected: 81.8%,active
2025-10-16T13:54:56.474170+00:00,System,Resource Alert,warning,High memory usage detected: 82.7%,active
2025-10-16T13:55:04.098589+00:00,System,Resource Alert,warning,High memory usage detected: 81.8%,active
2025-10-16T13:55:17.934199+00:00,System,Resource Alert,warning,High memory usage detected: 82.8%,active
2025-10-16T13:55:22.710504+00:00,System,Resource Alert,warning,High memory usage detected: 81.8%,active
2025-10-16T13:55:32.916020+00:00,System,Resource Alert,warning,High memory usage detected: 81.8%,active
2025-10-16T13:56:03.672526+00:00,System,Resource Alert,warning,High memory usage detected: 80.5%,active
2025-10-17T12:53:34.290128+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-17T12:53:35.701135+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-20T11:27:38.609375+00:00,System,Resource Alert,warning,High memory usage detected: 83.6%,active
2025-10-20T11:28:49.545521+00:00,System,Resource Alert,warning,High memory usage detected: 81.9%,active
2025-10-24T08:19:57.885589+00:00,System,Resource Alert,warning,High memory usage detected: 80.2%,active
2025-10-24T08:20:06.868010+00:00,System,Resource Alert,warning,High memory usage detected: 81.8%,active
2025-10-24T08:20:52.235558+00:00,System,Resource Alert,warning,High memory usage detected: 81.2%,active
2025-10-24T08:21:52.269013+00:00,System,Resource Alert,warning,High memory usage detected: 81.4%,active
2025-10-24T08:22:52.256478+00:00,System,Resource Alert,warning,High memory usage detected: 81.6%,active
2025-10-24T08:23:52.256393+00:00,System,Resource Alert,warning,High memory usage detected: 81.2%,active
2025-10-24T08:24:52.285016+00:00,System,Resource Alert,warning,High memory usage detected: 81.4%,active
2025-10-24T10:41:56.240802+00:00,System,Resource Alert,warning,High memory usage detected: 81.8%,active
2025-10-24T10:42:39.232654+00:00,System,Resource Alert,warning,High memory usage detected: 82.0%,active
2025-10-24T10:43:39.258221+00:00,System,Resource Alert,warning,High memory usage detected: 81.1%,active
2025-10-24T10:44:39.246496+00:00,System,Resource Alert,warning,High memory usage detected: 81.7%,active
2025-10-24T10:45:25.893240+00:00,System,Resource Alert,warning,High memory usage detected: 80.2%,active
2025-10-24T10:45:33.814424+00:00,System,Resource Alert,warning,High memory usage detected: 81.5%,active
2025-10-24T10:46:21.245620+00:00,System,Resource Alert,warning,High memory usage detected: 81.7%,active
2025-10-24T10:47:21.270122+00:00,System,Resource Alert,warning,High memory usage detected: 81.7%,active
2025-10-24T10:48:21.272153+00:00,System,Resource Alert,warning,High memory usage detected: 81.4%,active
2025-10-24T10:49:21.307606+00:00,System,Resource Alert,warning,High memory usage detected: 81.4%,active
2025-10-24T10:50:21.252514+00:00,System,Resource Alert,warning,High memory usage detected: 81.2%,active
2025-10-24T10:51:21.263650+00:00,System,Resource Alert,warning,High memory usage detected: 81.6%,active
2025-10-24T10:52:21.267286+00:00,System,Resource Alert,warning,High memory usage detected: 81.2%,active
2025-10-24T10:53:22.264432+00:00,System,Resource Alert,warning,High memory usage detected: 80.8%,active
2025-10-24T10:54:23.258289+00:00,System,Resource Alert,warning,High memory usage detected: 80.8%,active
2025-10-24T10:55:24.250554+00:00,System,Resource Alert,warning,High memory usage detected: 80.5%,active
2025-10-24T10:56:25.266049+00:00,System,Resource Alert,warning,High memory usage detected: 80.9%,active
2025-10-24T10:57:26.278696+00:00,System,Resource Alert,warning,High memory usage detected: 80.8%,active
2025-10-24T10:58:27.267684+00:00,System,Resource Alert,warning,High memory usage detected: 80.4%,active
2025-10-24T11:00:30.838013+00:00,System,Resource Alert,warning,High memory usage detected: 80.9%,active
2025-10-24T11:00:57.983381+00:00,System,Resource Alert,warning,High memory usage detected: 84.3%,active
2025-10-24T11:01:15.668090+00:00,System,Resource Alert,warning,High memory usage detected: 82.5%,active
2025-10-24T11:01:58.004974+00:00,System,Resource Alert,warning,High memory usage detected: 81.3%,active
2025-10-24T11:02:58.240941+00:00,System,Resource Alert,warning,High memory usage detected: 80.7%,active
2025-10-24T11:03:58.292632+00:00,System,Resource Alert,warning,High memory usage detected: 81.0%,active
2025-10-24T11:04:58.239628+00:00,System,Resource Alert,warning,High memory usage detected: 80.5%,active
2025-10-24T11:05:58.270288+00:00,System,Resource Alert,warning,High memory usage detected: 81.2%,active
2025-10-24T11:06:58.218357+00:00,System,Resource Alert,warning,High memory usage detected: 82.2%,active
2025-10-24T11:07:59.265447+00:00,System,Resource Alert,warning,High memory usage detected: 81.9%,active
2025-10-24T11:08:58.249474+00:00,System,Resource Alert,warning,High memory usage detected: 82.5%,active
2025-10-24T11:09:59.249979+00:00,System,Resource Alert,warning,High memory usage detected: 82.8%,active
2025-10-24T11:11:00.258696+00:00,System,Resource Alert,warning,High memory usage detected: 82.6%,active
2025-10-24T11:12:01.280383+00:00,System,Resource Alert,warning,High memory usage detected: 82.6%,active
2025-10-24T11:13:02.275696+00:00,System,Resource Alert,warning,High memory usage detected: 82.4%,active
2025-10-24T11:14:03.282641+00:00,System,Resource Alert,warning,High memory usage detected: 82.5%,active
2025-10-24T11:15:04.280737+00:00,System,Resource Alert,warning,High memory usage detected: 82.2%,active
2025-10-24T11:16:05.297553+00:00,System,Resource Alert,warning,High memory usage detected: 82.1%,active
2025-10-24T11:17:06.285713+00:00,System,Resource Alert,warning,High memory usage detected: 81.6%,active
2025-10-24T11:18:07.281862+00:00,System,Resource Alert,warning,High memory usage detected: 81.9%,active
2025-10-24T11:19:08.298206+00:00,System,Resource Alert,warning,High memory usage detected: 82.2%,active
2025-10-24T11:20:09.260762+00:00,System,Resource Alert,warning,High memory usage detected: 82.8%,active
2025-10-24T11:20:58.003926+00:00,System,Resource Alert,warning,High memory usage detected: 83.1%,active
2025-10-24T11:21:04.759366+00:00,System,Resource Alert,warning,High memory usage detected: 81.7%,active
2025-10-24T11:21:10.924516+00:00,System,Resource Alert,warning,High memory usage detected: 82.3%,active
2025-10-24T11:21:17.634238+00:00,System,Resource Alert,warning,High memory usage detected: 83.2%,active
2025-10-24T11:22:05.205506+00:00,System,Resource Alert,warning,High memory usage detected: 83.1%,active
2025-10-24T11:33:43.696095+00:00,System,Resource Alert,warning,High memory usage detected: 81.3%,active
2025-10-24T11:33:50.490664+00:00,System,Resource Alert,warning,High memory usage detected: 81.8%,active
2025-10-24T11:33:57.110616+00:00,System,Resource Alert,warning,High memory usage detected: 82.7%,active
2025-10-24T11:34:43.868621+00:00,System,Resource Alert,warning,High memory usage detected: 82.2%,active
2025-10-24T11:35:44.232202+00:00,System,Resource Alert,warning,High memory usage detected: 81.6%,active
2025-10-24T11:36:44.230201+00:00,System,Resource Alert,warning,High memory usage detected: 82.1%,active
2025-10-24T11:37:44.281632+00:00,System,Resource Alert,warning,High memory usage detected: 80.4%,active
2025-10-24T11:38:44.272763+00:00,System,Resource Alert,warning,High memory usage detected: 80.6%,active
2025-10-24T11:39:44.265563+00:00,System,Resource Alert,warning,High memory usage detected: 80.1%,active
2025-10-24T11:40:44.260700+00:00,System,Resource Alert,warning,High memory usage detected: 80.4%,active
2025-10-24T11:41:45.263930+00:00,System,Resource Alert,warning,High memory usage detected: 81.1%,active
2025-10-24T11:44:49.225202+00:00,System,Resource Alert,warning,High memory usage detected: 81.8%,active
2025-10-24T11:44:57.586014+00:00,System,Resource Alert,warning,High memory usage detected: 82.5%,active
2025-10-24T11:45:48.386831+00:00,System,Resource Alert,warning,High memory usage detected: 82.3%,active
2025-10-24T11:46:42.590082+00:00,System,Resource Alert,warning,High memory usage detected: 83.2%,active
2025-10-24T11:46:48.324931+00:00,System,Resource Alert,warning,High memory usage detected: 83.9%,active
2025-10-24T11:47:03.074680+00:00,System,Resource Alert,warning,High memory usage detected: 83.4%,active
2025-10-24T11:47:07.624207+00:00,System,Resource Alert,warning,High memory usage detected: 83.9%,active
2025-10-24T11:47:14.044306+00:00,System,Resource Alert,warning,High memory usage detected: 84.2%,active
2025-10-24T11:48:03.274395+00:00,System,Resource Alert,warning,High memory usage detected: 83.8%,active
2025-10-24T11:49:48.747979+00:00,System,Resource Alert,warning,High memory usage detected: 82.4%,active
2025-10-24T11:50:49.248689+00:00,System,Resource Alert,warning,High memory usage detected: 82.8%,active
2025-10-24T11:51:49.249112+00:00,System,Resource Alert,warning,High memory usage detected: 83.3%,active
2025-10-24T11:53:31.990137+00:00,System,Resource Alert,warning,High memory usage detected: 80.5%,active
2025-10-24T11:54:33.367532+00:00,System,Resource Alert,warning,High memory usage detected: 82.8%,active
2025-10-24T11:55:33.271926+00:00,System,Resource Alert,warning,High memory usage detected: 81.2%,active
2025-10-24T11:56:01.029096+00:00,System,Resource Alert,warning,High memory usage detected: 81.5%,active
2025-10-24T11:56:08.261273+00:00,System,Resource Alert,warning,High memory usage detected: 82.8%,active
2025-10-24T11:56:32.546278+00:00,System,Resource Alert,warning,High memory usage detected: 85.9%,active
2025-10-24T11:56:41.981198+00:00,System,Resource Alert,warning,High memory usage detected: 86.6%,active
2025-10-24T11:57:33.179887+00:00,System,Resource Alert,warning,High memory usage detected: 83.1%,active
2025-10-24T11:58:33.234626+00:00,System,Resource Alert,warning,High memory usage detected: 81.9%,active
2025-10-24T11:59:33.255283+00:00,System,Resource Alert,warning,High memory usage detected: 81.8%,active
2025-10-24T12:00:33.227118+00:00,System,Resource Alert,warning,High memory usage detected: 80.9%,active
2025-10-24T12:01:34.253113+00:00,System,Resource Alert,warning,High memory usage detected: 81.3%,active
2025-10-24T12:02:33.272373+00:00,System,Resource Alert,warning,High memory usage detected: 80.4%,active
2025-10-24T12:03:34.263259+00:00,System,Resource Alert,warning,High memory usage detected: 81.1%,active
2025-10-24T12:04:32.575052+00:00,System,Resource Alert,warning,High memory usage detected: 80.7%,active
2025-10-24T12:05:33.238182+00:00,System,Resource Alert,warning,High memory usage detected: 81.0%,active
2025-10-24T13:05:57.181246+00:00,System,Resource Alert,warning,High memory usage detected: 83.4%,active
2025-10-24T13:06:02.953680+00:00,System,Resource Alert,warning,High memory usage detected: 83.9%,active
2025-10-24T13:06:14.638108+00:00,System,Resource Alert,warning,High memory usage detected: 85.0%,active
2025-10-24T13:06:57.329586+00:00,System,Resource Alert,warning,High memory usage detected: 81.7%,active
2025-10-24T13:07:58.300623+00:00,System,Resource Alert,warning,High memory usage detected: 80.5%,active
2025-10-24T13:11:57.442141+00:00,System,Resource Alert,warning,High memory usage detected: 80.2%,active
2025-10-24T15:19:01.317095+00:00,System,Resource Alert,warning,High memory usage detected: 84.3%,active
2025-10-24T15:20:02.313400+00:00,System,Resource Alert,warning,High memory usage detected: 80.2%,active
2025-10-24T16:19:42.188223+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-24T16:19:47.005728+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-27T10:28:56.934323+00:00,JBoss Logs,Anomaly,critical,[2025-09-22 14:35:17] ERROR [org.jboss.ejb3] – Transaction timeout for UserSessionBean,active
2025-10-27T10:45:07.513330+00:00,System,Resource Alert,warning,High memory usage detected: 80.2%,active
2025-11-05T09:04:41.662913+00:00,System,Resource Alert,warning,High memory usage detected: 84.3%,active
2025-11-05T09:05:55.639634+00:00,System,Resource Alert,warning,High memory usage detected: 94.3%,active
2025-11-05T09:11:41.139478+00:00,System,Resource Alert,warning,High memory usage detected: 82.0%,active
2025-11-05T09:12:41.091182+00:00,System,Resource Alert,warning,High memory usage detected: 92.4%,active
2025-11-05T09:13:41.578156+00:00,System,Resource Alert,warning,High memory usage detected: 92.8%,active
2025-11-05T10:17:15.677524+00:00,System,Resource Alert,critical,High CPU usage detected: 94.6%,active
2025-11-05T10:17:15.687241+00:00,System,Resource Alert,warning,High memory usage detected: 80.8%,active
2025-11-05T10:19:15.707747+00:00,System,Resource Alert,critical,High CPU usage detected: 100.0%,active
2025-11-05T10:19:15.721270+00:00,System,Resource Alert,warning,High memory usage detected: 99.9%,active
2025-11-05T10:27:10.764563+00:00,System,Resource Alert,critical,High CPU usage detected: 92.3%,active
2025-11-05T10:29:28.099810+00:00,System,Resource Alert,warning,High memory usage detected: 95.9%,active
2025-11-05T10:32:37.565867+00:00,System,Resource Alert,critical,High CPU usage detected: 96.0%,active
2025-11-05T10:34:37.782626+00:00,System,Resource Alert,critical,High CPU usage detected: 98.8%,active
2025-11-05T10:34:37.786629+00:00,System,Resource Alert,warning,High memory usage detected: 90.0%,active
2025-11-05T10:35:42.264643+00:00,System,Resource Alert,warning,High memory usage detected: 83.4%,active
2025-11-05T10:36:37.580929+00:00,System,Resource Alert,warning,High memory usage detected: 84.1%,active
2025-11-05T10:37:37.628396+00:00,System,Resource Alert,warning,High memory usage detected: 86.4%,active
2025-11-05T10:38:37.555479+00:00,System,Resource Alert,warning,High memory usage detected: 87.0%,active
2025-11-05T10:39:38.761633+00:00,System,Resource Alert,warning,High memory usage detected: 88.1%,active
2025-11-05T10:39:54.141731+00:00,System,Resource Alert,warning,High memory usage detected: 88.5%,active
2025-11-05T10:40:03.047071+00:00,System,Resource Alert,warning,High memory usage detected: 87.0%,active
2025-11-05T10:40:05.345442+00:00,System,Resource Alert,warning,High memory usage detected: 87.1%,active
2025-11-05T10:40:37.544114+00:00,System,Resource Alert,warning,High memory usage detected: 87.4%,active
2025-11-05T10:41:36.962435+00:00,System,Resource Alert,warning,High memory usage detected: 87.3%,active
2025-11-05T10:41:38.392829+00:00,System,Resource Alert,warning,High memory usage detected: 87.3%,active
2025-11-05T14:16:24.086159+00:00,System,Resource Alert,warning,High memory usage detected: 80.4%,active
2025-11-05T14:16:28.586810+00:00,System,Resource Alert,warning,High memory usage detected: 80.3%,active
2025-11-05T14:16:31.656327+00:00,System,Resource Alert,warning,High memory usage detected: 80.4%,active
2025-11-05T14:16:49.537913+00:00,System,Resource Alert,warning,High memory usage detected: 80.6%,active
2025-11-05T14:18:42.572092+00:00,System,Resource Alert,warning,High memory usage detected: 80.9%,active
2025-11-05T14:21:42.512673+00:00,System,Resource Alert,warning,High memory usage detected: 80.9%,active
2025-11-06T06:45:19.433308+00:00,System,Resource Alert,warning,High memory usage detected: 89.6%,active
2025-11-06T06:46:19.420009+00:00,System,Resource Alert,warning,High memory usage detected: 88.1%,active
2025-11-06T06:47:19.425293+00:00,System,Resource Alert,warning,High memory usage detected: 87.6%,active
2025-11-06T06:48:19.399237+00:00,System,Resource Alert,warning,High memory usage detected: 87.8%,active
2025-11-06T06:49:19.399762+00:00,System,Resource Alert,warning,High memory usage detected: 86.4%,active
